,code,lat,lon,city,name
2245,ORF,36.8977,-76.2154,Norfolk,Norfolk International Airport
2246,ORH,42.2699,-71.8706,Worcester,Worcester Municipal Airport
2247,ORI,-7.6833,-39.3667,Port Lions,Port Lions
2248,ORJ,4.71667,-60.0333,Rera,Orinduik Airport
2249,ORK,51.8463,-8.48897,Fivemilebridge,Cork Airport
2250,ORM,52.3,-0.78333,Northampton,Sywell Airport
2251,ORN,35.6244,-0.6186,Oran Rp,Es Senia Airport
2252,ORV,66.8333,-161.033,Noorvik,Curtis Memorial
2253,ORY,48.7261,2.36411,Paris,Paris Orly Airport
2254,OSD,63.1972,14.4933,Frösö,Ostersunds Airport
2255,OSI,45.4639,18.8083,Osijek,Osijek Airport
2256,OSK,57.3517,16.4956,Fårbo,Oskarshamn Airport
2257,OSL,60.1947,11.1005,Gardermoen,Oslo Gardermoen Airport
2258,OSM,36.3086,43.1458,Mosul,Mosul Airport
2259,OSR,49.6888,18.1178,Mošnov,Mosnov Airport
2260,OSS,40.6155,72.7853,Osh,Osh Airport
2261,OST,51.2012,2.8716,Oostende,Oostende Airport
2262,OSW,51.2085,58.6325,Orsk,Orsk
2263,OSY,64.4723,11.5721,Namsos,Namsos Airport
2264,OSZ,54.25,16.25,Sianów,Koszalin Airport
2265,OTH,43.4141,-124.244,North Bend,North Bend Municipal Airport
2266,OTP,44.5656,26.1029,Bucharest,Otopeni Airport
2267,OTR,8.6006,-82.9694,Coto 47,Coto 47 Airport
2268,OTZ,66.8893,-162.61,Kotzebue,Ralph Wien Memorial Airport
2269,OUA,12.3522,-1.5133,Ouagadougou,Ouagadougou Airport
2270,OUD,34.7903,-1.925,Oujda,Angads Airport
2271,OUE,1.6167,16.0444,Ouesso,Ouesso Airport
2272,OUL,64.9294,25.3574,Oulunsalo,Oulu Airport
2273,OUZ,22.7337,-12.4941,Zouerate,Mauritania
2274,OVB,55.0078,82.6508,Novosibirsk,Tolmachevo Airport
2275,OVD,43.5596,-6.03102,Castrillón,Asturias Airport
2276,OVS,43.1537,-90.6764,Boscobel,Boscobel Airport
2277,OXB,11.8886,-15.6575,Bissau,Bissau Oswaldo Vieira Airport
2278,OXF,51.831,-1.31029,Kidlington,Oxford Airport
2279,OXR,34.1984,-119.206,Oxnard,Oxnard Airport
2280,OYE,1.5353,11.5803,Oyem,Oyem Airport
2281,OYG,3.64967,31.7239,Moyo,Moyo
2282,OZC,8.1822,123.841,Ozamis City,Ozamis-Mindanao Island Airport
2283,OZH,47.86,35.3212,Zaporizhzhya,Zaporozhye East Airport
2284,OZZ,30.9342,-6.9031,Ouarzazate,Ouarzazate Airport
2285,PAD,51.6126,8.61871,Büren,Paderborn-Lippstadt Airport
2286,PAH,37.0612,-88.7672,West Paducah,Barkley Regional Airport
2287,PAI,12.85,102.583,Pailin,Pailin Airport
2288,PAP,36.4215,-83.3607,Port Au Prince,Port Au Prince
2289,PAS,37.0683,25.1975,Levkai,Paros Island Airport
2290,PAT,25.5914,85.0866,Patna,Lok Nayak Jaiprakash Airport
2291,PAZ,20.6086,-97.4717,Castillo de Teayo,Tajin Airport
2292,PBC,19.1433,-98.3714,Tlaltenango,Puebla Airport
2293,PBD,21.6489,69.6567,Porbandar,Porbandar Airport
2294,PBG,44.6508,-73.4683,Plattsburgh,Plattsburgh Air Force Base
2295,PBH,27.4033,89.4292,Paro,Paro Airport
2296,PBI,26.6909,-80.0889,West Palm Beach,Palm Beach International Airport
