,code,lat,lon
282,BGF,4.3961,18.5203
283,BGI,13.0719,-59.4939
284,BGM,42.2082,-75.9825
285,BGO,60.2907,5.22065
286,BGR,44.8086,-68.8167
287,BGW,33.3328,44.3639
288,BGY,45.6664,9.699
289,BHB,44.4461,-68.3615
290,BHD,54.6151,-5.87096
291,BHE,-41.52,173.87
292,BHG,15.7636,-84.551
293,BHH,19.9817,42.6267
294,BHI,-38.7261,-62.1539
295,BHJ,23.2875,69.6706
296,BHK,39.7948,64.4895
297,BHM,33.5604,-86.7492
298,BHO,23.2844,77.3383
299,BHQ,-32.0031,141.466
300,BHR,25.9173,50.6071
301,BHS,-33.4121,149.657
302,BHU,21.7536,72.1867
303,BHV,29.3444,71.7125
304,BHX,52.4531,-1.73847
305,BHY,21.4833,109.083
306,BIA,42.5497,9.48341
307,BID,41.1696,-71.58
308,BII,11.5833,165.383
309,BIK,-1,136.117
310,BIL,45.8034,-108.537
311,BIM,25.6994,-79.2636
312,BIO,43.3025,-2.91112
313,BIQ,43.472,-1.53137
314,BIR,26.4814,87.2647
315,BIS,46.7745,-100.757
316,BJA,36.7133,5.0697
317,BJB,37.4933,57.3007
318,BJF,70.6031,29.6948
319,BJI,47.5065,-94.9338
320,BJL,13.3372,-16.6544
321,BJM,-3.3317,29.3208
322,BJR,11.5564,37.3687
323,BJV,37.0413,27.4362
324,BJW,-8.78333,120.983
325,BJX,20.9903,-101.478
326,BJZ,38.8939,-6.81921
327,BKA,55.5516,37.9763
328,BKC,65.9833,-161.167
329,BKI,5.9386,116.049
330,BKK,13.9144,100.608
331,BKL,41.5115,-81.6869
332,BKM,3.94515,114.402
333,BKO,12.5361,-7.9486
334,BKQ,-24.4292,145.429
335,BKS,-3.8633,102.339
336,BKW,37.7849,-81.1174
337,BKY,-2.3014,28.8139
338,BLA,10.1103,-64.6872
339,BLE,60.4297,15.5081
340,BLI,48.7955,-122.532
341,BLJ,35.5572,6.17229
342,BLK,53.7756,-3.04118
343,BLL,55.742,9.15354
344,BLQ,44.5345,11.2903
345,BLR,12.9526,77.6656
346,BLT,-23.6012,148.805
347,BLV,38.5412,-89.8499
348,BLZ,-15.6764,34.9714
349,BMA,59.3562,17.9378
350,BME,-17.9464,122.233
351,BMI,40.4841,-88.9134
352,BMK,53.5797,6.71294
353,BMO,24.2739,97.2517
354,BMU,-8.5444,118.682
355,BMV,12.6667,108.05
356,BMW,28.0269,1.65284
357,BMY,-19.75,163.667
358,BNA,36.1342,-86.6682
359,BND,27.225,56.3783
360,BNE,-27.3589,153.122
361,BNI,6.3161,5.6
362,BNJ,50.7667,7.16449
363,BNK,-28.8342,153.555
364,BNN,65.462,12.2161
365,BNS,8.6211,-70.2181
366,BNX,44.9403,17.2992
367,BNY,-11.2961,159.801
368,BOB,-16.45,-151.767
369,BOC,9.34,-82.2514
370,BOD,44.8291,-0.70278
371,BOG,4.69895,-74.1435
372,BOH,50.7797,-1.83424
373,BOI,43.5709,-116.222
374,BOJ,42.5667,27.5
375,BOM,19.0932,72.8654
376,BON,12.1392,-68.2697
377,BOO,67.2709,14.3653
378,BOS,42.3717,-71.0281
379,BOW,27.9493,-81.7818
380,BOY,11.1636,-4.3264
381,BPN,-1.2681,116.897
382,BPS,-16.4406,-39.0833
383,BPT,29.9551,-94.0185
384,BPX,31.1442,97.174
